club,busyness,date
PILAITĖ,11%,2021-12-14 17:00:08
SAVANORIAI,27%,2021-12-14 17:00:08
ŠILAINIAI,17%,2021-12-14 17:00:08
ŽALGIRIO ARENA,16%,2021-12-14 17:00:08
ANTAKALNIS,25%,2021-12-14 18:00:08
BANGINIS,28%,2021-12-14 18:00:08
EUROPA,24%,2021-12-14 18:00:08
FABIJONIŠKĖS,17%,2021-12-14 18:00:08
PERKŪNKIEMIS,18%,2021-12-14 18:00:08
PILAITĖ,17%,2021-12-14 18:00:08
SAVANORIAI,26%,2021-12-14 18:00:08
ŠILAINIAI,29%,2021-12-14 18:00:08
ŽALGIRIO ARENA,12%,2021-12-14 18:00:08
ANTAKALNIS,25%,2021-12-14 19:00:08
BANGINIS,27%,2021-12-14 19:00:08
EUROPA,26%,2021-12-14 19:00:08
FABIJONIŠKĖS,18%,2021-12-14 19:00:08
PERKŪNKIEMIS,24%,2021-12-14 19:00:08
PILAITĖ,18%,2021-12-14 19:00:08
SAVANORIAI,21%,2021-12-14 19:00:08
ŠILAINIAI,33%,2021-12-14 19:00:08
ŽALGIRIO ARENA,7%,2021-12-14 19:00:08
ANTAKALNIS,11%,2021-12-15 15:00:07
BANGINIS,11%,2021-12-15 15:00:07
EUROPA,9%,2021-12-15 15:00:07
FABIJONIŠKĖS,12%,2021-12-15 15:00:07
PERKŪNKIEMIS,10%,2021-12-15 15:00:07
PILAITĖ,8%,2021-12-15 15:00:07
SAVANORIAI,20%,2021-12-15 15:00:07
ŠILAINIAI,13%,2021-12-15 15:00:07
ŽALGIRIO ARENA,12%,2021-12-15 15:00:07
ANTAKALNIS,21%,2021-12-15 16:00:07
BANGINIS,15%,2021-12-15 16:00:07
EUROPA,16%,2021-12-15 16:00:07
FABIJONIŠKĖS,14%,2021-12-15 16:00:07
PERKŪNKIEMIS,14%,2021-12-15 16:00:07
PILAITĖ,11%,2021-12-15 16:00:07
SAVANORIAI,27%,2021-12-15 16:00:07
ŠILAINIAI,16%,2021-12-15 16:00:07
ŽALGIRIO ARENA,13%,2021-12-15 16:00:07
ANTAKALNIS,28%,2021-12-15 17:00:07
BANGINIS,19%,2021-12-15 17:00:07
EUROPA,22%,2021-12-15 17:00:07
FABIJONIŠKĖS,25%,2021-12-15 17:00:07
PERKŪNKIEMIS,15%,2021-12-15 17:00:07
PILAITĖ,14%,2021-12-15 17:00:07
